Course,Number,Prefix,Prof_Name (Assigned Dept-College),Enrolled ,A,B,C,D,F,W,I ,*,P,F
ELE,4010,,Navis Chad C (1305-CBUS),37, 56.76,37.84,5.41,0,0,0,0,0,0,0
ELE,4020,,Powell Elizabeth Erin (1305-CBUS),40, 32.50,57.50,10.00,0,0,0,0,0,0,0
ELE,4030,,Parnell Ashley Williams (1305-CBUS),23, 17.39,26.09,47.83,0,8.70,0,0,0,0,0
MGT,2010,,Clark Katherine D (1305-CBUS),425, 41.65,42.82,11.06,3.29,0.71,0.47,0,0,0,0
MGT,2010,,Parnell Ashley Williams (1305-CBUS),122, 25.41,36.89,27.05,4.10,3.28,3.28,0,0,0,0
MGT,2010,,Robbins Tina L (1305-CBUS),354, 42.09,37.85,15.54,3.39,0.28,0.85,0,0,0,0
MGT,2010,H,Robbins Tina L (1305-CBUS),11, 72.73,27.27,0,0,0,0,0,0,0,0
MGT,2180,,Toole Ryan A (1305-CBUS),524, 42.37,38.93,13.36,1.53,1.53,2.29,0,0,0,0
MGT,2970,,Hannon John Michael (1345-CBUS),25, 68.00,20.00,8.00,0,0,4.00,0,0,0,0
MGT,3070,,Cole Michael A (1305-CBUS),80, 56.25,40.00,2.50,1.25,0,0,0,0,0,0
MGT,3070,,Harrison Priscilla R (5404-PRES),16, 25.00,37.50,12.50,12.50,6.25,6.25,0,0,0,0
MGT,3070,,Kennedy Alejandra Sabio (5337-FIN),40, 82.50,15.00,0,0,2.50,0,0,0,0,0
MGT,3070,,Spooner Leonard Joseph (1305-CBUS),76, 35.53,53.95,10.53,0,0,0,0,0,0,0
MGT,3070,H,Spooner Leonard Joseph (1305-CBUS),3, #,#,#,#,#,#,#,#,#,#
MGT,3100,,Akturk Mustafa Serkan (1305-CBUS),81, 39.51,38.27,11.11,0,0,11.11,0,0,0,0
MGT,3100,,Atadeniz Sukran Nilvana (1305-CBUS),115, 46.09,27.83,16.52,0,1.74,7.83,0,0,0,0
MGT,3100,,Charpin Remi  (1305-CBUS),43, 27.91,37.21,20.93,0,9.30,4.65,0,0,0,0
MGT,3100,,Lee Min Kyung (1305-CBUS),77, 40.26,29.87,12.99,7.79,5.19,3.90,0,0,0,0
